Latitude,Longitude,Speed,Address,Distance,Calculated Speed,Map Location,Map Address
2009-02-01 19:55:32,44.612298,-75.687596,0,"1981 Parkedale Ave, Brockville, ON K6V 0B4, Canada",0,0,"https://www.google.com/maps/place/44.612298,-75.687596",https://www.google.com/maps/place/1981+Parkedale+Ave%2C+Brockville%2C+ON+K6V+0B4%2C+Canada
2009-02-01 19:57:33,44.612451,-75.687943,7,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0019936054782563983,7.176979721723034,"https://www.google.com/maps/place/44.612451,-75.687943",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:34,44.612455,-75.687916,9,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0021854677925770257,7.867684053277292,"https://www.google.com/maps/place/44.612455,-75.687916",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:35,44.612468,-75.687891,11,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0024533948549181174,8.832221477705222,"https://www.google.com/maps/place/44.612468,-75.687891",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:36,44.612488,-75.687863,11,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.003143277763917615,11.315799950103413,"https://www.google.com/maps/place/44.612488,-75.687863",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:37,44.612508,-75.68784,11,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.002877296858761984,10.358268691543142,"https://www.google.com/maps/place/44.612508,-75.68784",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:38,44.612528,-75.687811,11,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.0031997090336904526,11.518952521285629,"https://www.google.com/maps/place/44.612528,-75.687811",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:39,44.612549,-75.687786,11,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.003064272801086535,11.031382083911526,"https://www.google.com/maps/place/44.612549,-75.687786",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:40,44.612579,-75.687764,12,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.003767260655713497,13.56213836056859,"https://www.google.com/maps/place/44.612579,-75.687764",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:41,44.612615,-75.687738,14,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.004506130770834677,16.222070775004838,"https://www.google.com/maps/place/44.612615,-75.687738",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:42,44.612651,-75.687716,14,"1283 Crocker Crescent, Brockville, ON K6V 7N4, Canada",0.0043702962287099825,15.733066423355938,"https://www.google.com/maps/place/44.612651,-75.687716",https://www.google.com/maps/place/1283+Crocker+Crescent%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
